search_query_original,rawg_id,name,slug,background_image,released,rating
God of war,5691,Thor: God of Thunder,thor-god-of-thunder,https://media.rawg.io/media/games/52d/52d173db0f466108c15d900b61a0f1a9.jpg,2011-04-28,2.67
God of war,2629,Trillion: God of Destruction,trillion-god-of-destruction,https://media.rawg.io/media/screenshots/ee1/ee1ef2c1aeab2766cb08056a8dc4b70a.jpg,2015-07-23,2.89
Grand Theft Auto,52998,Grand Theft Auto,grand-theft-auto-1998,https://media.rawg.io/media/games/786/786f9a212646c793ccbad196cba2cf36.jpg,1997-10-21,3.85
Grand Theft Auto,4459,Grand Theft Auto IV,grand-theft-auto-iv,https://media.rawg.io/media/games/4a0/4a0a1316102366260e6f38fd2a9cfdce.jpg,2008-04-29,4.26
Grand Theft Auto,972995,Grand Theft Auto VI,grand-theft-aito-vi,https://media.rawg.io/media/games/734/7342a1cd82c8997ec620084ae4c2e7e4.jpg,2026-11-19,3.72
Grand Theft Auto,3498,Grand Theft Auto V,grand-theft-auto-v,https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg,2013-09-17,4.47
Grand Theft Auto,59121,Grand Theft Auto: London 1961,grand-theft-auto-london-1961,https://media.rawg.io/media/games/d45/d45603b311b34e5351a809ed210c336f.jpg,1999-06-01,3.55
Grand Theft Auto,378578,Grand Theft Auto IV: Complete Edition,grand-theft-auto-iv-complete-edition,https://media.rawg.io/media/screenshots/e59/e59cc96f38cc93af5a396173878018d7.jpg,2010-10-27,4.58
Grand Theft Auto,708998,Grand Theft Auto III: The Definitive Edition,grand-theft-auto-iii-the-definitive-edition,https://media.rawg.io/media/games/9db/9db7575938031b505ed7cdc2067168ce.jpg,2021-11-11,3.43
Grand Theft Auto,5200,Grand Theft Auto: Chinatown Wars,gta-chinatown-wars,https://media.rawg.io/media/games/bcd/bcdadb5dd2be66dd4dd1f657275b3f8e.jpg,2009-03-17,3.89
Grand Theft Auto,430,Grand Theft Auto: Vice City,grand-theft-auto-vice-city,https://media.rawg.io/media/games/13a/13a528ac9cf48bbb6be5d35fe029336d.jpg,2002-10-27,4.44
Grand Theft Auto,30539,Grand Theft Auto Mission Pack: London 1969,grand-theft-auto-mission-pack-london-1969,https://media.rawg.io/media/screenshots/b38/b3806faa738d71d0c0865d2b15525202.jpg,1999-03-31,3.2
Grand Theft Auto,416,Grand Theft Auto: San Andreas,grand-theft-auto-san-andreas,https://media.rawg.io/media/games/960/960b601d9541cec776c5fa42a00bf6c4.jpg,2004-10-26,4.5
Grand Theft Auto,7872,Grand Theft Auto: iFruit,grand-theft-auto-ifruit,https://media.rawg.io/media/screenshots/d74/d748bb016b1c26935cb7c2d0f2a7ba40.jpg,2013-09-16,2.75
Grand Theft Auto,677164,Grand Theft Auto: The Trilogy – The Definitive Edition,grand-theft-auto-the-trilogy-the-definitive-editio,https://media.rawg.io/media/games/051/0518bc19ba710a13d58620723ef8b3f7.jpg,2021-11-11,2.08
Grand Theft Auto,709004,Grand Theft Auto: San Andreas – The Definitive Edition,grand-theft-auto-san-andreas-the-definitive-editio,https://media.rawg.io/media/games/ae3/ae3ba4e4d73ab8ec9dd6bfd8ab9d4efb.jpg,2021-11-11,3.15
Grand Theft Auto,4059,Grand Theft Auto: Vice City Stories,grand-theft-auto-vice-city-stories,https://media.rawg.io/media/games/2cf/2cfc874f7d547fa6f6a84816f7a00bb3.jpg,2006-10-31,4.01
Grand Theft Auto,347853,Grand Theft Auto V & Grand Theft Auto: San Andreas,grand-theft-auto-v-grand-theft-auto-san-andreas,N/A,2017-04-04,0.0
Grand Theft Auto,708999,Grand Theft Auto: Vice City – The Definitive Edition,grand-theft-auto-vice-city-the-definitive-edition,https://media.rawg.io/media/games/a0d/a0d4405596639b3fe4de603f4489755e.jpg,2021-11-11,3.76
Grand Theft Auto,4058,Grand Theft Auto: Liberty City Stories,gta-liberty-city-stories,https://media.rawg.io/media/games/212/21215abf004beda8b6c67255028a6696.jpg,2005-10-24,3.99
Grand Theft Auto,4414,Grand Theft Auto: Episodes from Liberty City,grand-theft-auto-episodes-from-liberty-city,https://media.rawg.io/media/games/470/470d21d6971de8f13ec0e1664a120cc0.jpg,2009-10-29,4.12
Grand Theft Auto,1017194,Grand Theft Auto: Double Pack,grand-theft-auto-double-pack,https://media.rawg.io/media/screenshots/9cd/9cdd18c197521dc45c12f47929511f36.jpg,2003-10-24,0.0
Need For Speed,3090,Need for Speed,need-for-speed,https://media.rawg.io/media/games/19a/19a512a8c1293c22894b7364e1405ec1.jpg,2015-11-03,3.38
Need For Speed,39241,Need for Speed World,need-for-speed-world,https://media.rawg.io/media/games/0ba/0ba3794e8e6013f3334a709c50bc8bf2.jpg,2010-07-27,2.94
Need For Speed,19400,Need for Speed: Shift,need-for-speed-shift-2,https://media.rawg.io/media/games/22b/22b61e8391b252cbd9be3317709cc68d.jpg,2009-09-15,3.57
Need For Speed,53445,Need for Speed: Underground,need-for-speed-underground-3,https://media.rawg.io/media/games/7dd/7dd30ec2b261fa66c3567ddd845ec649.jpg,2003-11-17,4.33
Need For Speed,5615,Need For Speed Undercover,nfs-undercover,https://media.rawg.io/media/games/4ad/4ad6ab9cfe8146224330598a4a62fb14.jpg,2008-11-18,3.21
Need For Speed,364806,Need for Speed Heat,need-for-speed-heat,https://media.rawg.io/media/games/370/3703c683968a54f09630dcf03366ea35.jpg,2019-11-08,3.27
Need For Speed,5611,Need for Speed: ProStreet,nfs-prostreet,https://media.rawg.io/media/games/269/269cd0c0a196e87ece216b534813df50.jpg,2007-11-14,3.54
Need For Speed,544,Need for Speed No Limits,need-for-speed-no-limits,https://media.rawg.io/media/games/2b6/2b6806f039c1345a0f61894eaa5f3414.jpg,2015-10-01,2.67
Need For Speed,23702,Need for Speed Payback,need-for-speed-payback,https://media.rawg.io/media/games/a57/a57e3c73ca46cbf55b526c828e3545c0.jpg,2017-11-07,3.2
Need For Speed,5265,Need For Speed Carbon,need-for-speed-carbon,https://media.rawg.io/media/games/35f/35f815a22c4678b4fe76073f0f56df8e.jpg,2006-10-30,3.95
Need For Speed,3838,Need for Speed Rivals,need-for-speed-rivals,https://media.rawg.io/media/games/1fa/1fa75f0895240b12fc65cc98ae9649fd.jpg,2013-11-15,3.15
Need For Speed,31412,Need for Speed: Porsche Unleashed,need-for-speed-porsche-unleashed,https://media.rawg.io/media/games/236/236b79a5c51ed6bf59dffd2d24df30cc.jpg,2000-01-01,4.24
Need For Speed,58890,Need For Speed: Most Wanted,need-for-speed-most-wanted,https://media.rawg.io/media/games/41b/41ba37b6a3e706dc1d27d49afbf0f72a.jpg,2005-11-15,4.45
Need For Speed,30606,Need for Speed: High Stakes,need-for-speed-high-stakes,https://media.rawg.io/media/games/2b9/2b9bfacefc4a846a7c0f5fa73987a76c.jpg,1999-03-01,4.05
Need For Speed,4385,Need for Speed: The Run,need-for-speed-the-run,https://media.rawg.io/media/games/824/8244583f6d39dda76b0fce7a516d1425.jpg,2011-11-15,3.75
Need For Speed,53446,Need for Speed: Underground 2,need-for-speed-underground-2-2,https://media.rawg.io/media/games/dc6/dc68ca77e06ad993aade7faf645f5ec2.jpg,2004-11-15,4.4
Need For Speed,30332,Need for Speed 2 Special Edition,need-for-speed-ii-se,https://media.rawg.io/media/games/d8e/d8e080b85e3c5e59a6ecd9f613c6f3be.jpg,1997-11-06,4.16
Need For Speed,19633,Need For Speed: Hot Pursuit,need-for-speed-hot-pursuit-2,https://media.rawg.io/media/games/367/367463d43c2a1465f27e830b5b1334ee.jpg,2010-11-16,3.86
Need For Speed,30504,Need for Speed 3: Hot Pursuit,need-for-speed-3-hot-pursuit,https://media.rawg.io/media/games/291/29135e04d81ef83074ce59963636095f.jpg,1998-03-25,4.07
Need For Speed,31724,Need for Speed: Hot Pursuit 2,need-for-speed-hot-pursuit-2-2,https://media.rawg.io/media/games/907/90794495addba417489b92bf64054889.jpg,2002-09-30,4.0
Age of Empire,32595,Age of Empires II: Age of Kings,age-of-empires-ii-age-of-kings,https://media.rawg.io/media/screenshots/e90/e90a4f0b878b0206888a56c4155705c8.jpg,1999-09-30,4.39
Age of Empire,8106,Age of Empires: Castle Siege,age-of-empires-castle-siege,https://media.rawg.io/media/screenshots/d60/d60cc486d9f6c7ad4fd2fb178b3ce689.jpeg,2014-09-17,3.05
Age of Empire,31261,Age of Empires: The Rise of Rome,age-of-empires-the-rise-of-rome,https://media.rawg.io/media/screenshots/727/72744f3aa4c99b3b8eb403b5219856d2.jpg,1998-10-31,4.41
Age of Empire,32038,Age of Empires II: The Conquerors,age-of-empires-ii-the-conquerors,https://media.rawg.io/media/screenshots/69b/69b057c6b3eecf554507a2dd1172148a.jpg,2000-08-25,4.58
Age of Empire,499264,Age of Empires III: Definitive Edition,age-of-empires-iii-definitive-edition,https://media.rawg.io/media/games/f68/f68f04eeeadaa87cf0d2534306f96850.jpg,2020-10-15,3.75
Age of Empire,12092,Age of Empires III: Complete Collection,age-of-empires-iii-complete-collection,https://media.rawg.io/media/screenshots/baf/baf902c3d2e800a57c087763d56fc914.jpg,2012-01-05,4.1
Age of Empire,37261,Age of Empires III: The WarChiefs,age-of-empires-iii-the-warchiefs,https://media.rawg.io/media/screenshots/fe6/fe652f7a9b9945b81a72f1888429105a.jpg,2006-10-17,3.83
Age of Empire,32697,Age of Empires,age-of-empires,https://media.rawg.io/media/screenshots/323/323dac3cdfdc40cd87dd4b2582578afe.jpg,1997-10-15,4.3
Age of Empire,38066,Age of Empires III: The Asian Dynasties,age-of-empires-iii-the-asian-dynasties,https://media.rawg.io/media/screenshots/4a5/4a5dea86b1edca4dde40db2f5851445e.jpg,2007-10-23,4.0
